,iteration,loss_action,wighted_loss,rewards,name
0,0,27.31137466430664,0,192.89054824878065,bc
1,1,14.694581031799316,0,176.62501952284583,bc
2,2,10.638413429260254,0,205.3739247884253,bc
3,0,6.426117897033691,-209.39169311523438,128.77377565735048,pg2
4,0,18.64742660522461,-241.13131713867188,118.11796414961921,pg2
5,0,40.53520202636719,-293.064208984375,92.39515431913853,pg2
6,1,73.109130859375,-372.2765808105469,85.718959437525,pg2
7,1,116.34410095214844,-479.7473449707031,85.33844730380406,pg2
8,1,170.487060546875,-612.9620971679688,82.94907008541647,pg2
9,2,234.45751953125,-769.4833984375,88.14870669209833,pg2
10,2,315.4508056640625,-970.4869995117188,96.10681632372551,pg2
11,2,406.2891540527344,-1199.193115234375,110.34700476857569,pg2
12,0,5.717087268829346,190.57041931152344,188.20076050657656,pg2
13,0,7.125715255737305,190.5843505859375,107.85170493336344,pg2
14,0,6.333470821380615,187.1263885498047,160.29226615822623,pg2
15,1,5.342594146728516,183.9663848876953,144.19630891316874,pg2
16,1,4.797524452209473,183.81112670898438,117.72008722614095,pg2
17,1,4.342823505401611,181.801025390625,88.83967627276931,pg2
18,2,4.072411060333252,180.05955505371094,118.33798179200375,pg2
19,2,3.9640820026397705,179.4613800048828,95.13407061659461,pg2
20,2,3.969578504562378,178.35768127441406,81.24278673577521,pg2
21,0,5.942574501037598,-10.063492774963379,93.87764981690516,pg2
22,0,11.966975212097168,-12.3063383102417,96.46323036624818,pg2
23,0,23.159404754638672,-16.436161041259766,148.09691331029003,pg2
24,1,38.406227111816406,-22.05899429321289,158.77735056076557,pg2
25,1,63.061119079589844,-30.56034278869629,130.56458585075399,pg2
26,1,96.5477066040039,-42.129642486572266,136.65360949812893,pg2
27,2,135.35916137695312,-57.170379638671875,122.30055834969139,pg2
28,2,181.13401794433594,-75.76398468017578,111.952530852097,pg2
29,2,230.22537231445312,-98.36016845703125,120.14425754360332,pg2
